time,prop1_force_x,prop1_force_y,prop1_force_z,prop2_force_x,prop2_force_y,prop2_force_z,prop3_force_x,prop3_force_y,prop3_force_z,prop4_force_x,prop4_force_y,prop4_force_z
0.21,-1.4495430856578158,-0.24822823421972726,2.3717401175079122,-1.4832954367329754,-0.16298359227590675,2.3696297740302534,-1.4832954367329836,-0.16298359227590872,2.3696297740302863,-1.4495430856578098,-0.24822823421972462,2.3717401175078843
0.22,-1.6610589436284888,-0.2968658025366839,2.249494072969879,-1.704825899749433,-0.2003795326649776,2.250585736416852,-1.704825899749447,-0.20037953266498082,2.2505857364168906,-1.661058943628479,-0.2968658025366802,2.2494940729698456
0.23,-1.8638100433038118,-0.3461714414951786,2.0492350293206254,-1.9201533335147505,-0.2388622029467882,2.055133146365065,-1.9201533335147718,-0.23886220294679403,2.0551331463651143,-1.863810043303803,-0.34617144149517426,2.0492350293205943
0.24,-2.026918647691492,-0.38869095042324675,1.7510819079481925,-2.099103623842336,-0.27234918736297464,1.7636557927989165,-2.0991036238423613,-0.27234918736298264,1.7636557927989673,-2.0269186476914625,-0.38869095042323787,1.7510819079481441
0.25,-2.102504452959671,-0.41167814375823697,1.3425867662213045,-2.194593316470178,-0.29024831903834897,1.3636852146960032,-2.194593316470205,-0.2902483190383578,1.3636852146960445,-2.102504452959628,-0.4116781437582234,1.3425867662212463
0.26,-2.024868786428879,-0.3962151011767638,0.8317906943696213,-2.1416403490639273,-0.2767571016120671,0.8626032179821537,-2.1416403490639477,-0.27675710161207356,0.8626032179821788,-2.024868786428829,-0.3962151011767476,0.831790694369568
0.27,-1.7188792167358695,-0.31907971359872683,0.2664932939900035,-1.8653188619012473,-0.212699377339783,0.3064056029290505,-1.8653188619012742,-0.21269937733979127,0.3064056029290777,-1.7188792167358318,-0.31907971359871334,0.26649329398997035
0.28,-1.126553598679544,-0.16079930691809768,-0.24585446789645404,-1.306506276903815,-0.08302082362795203,-0.20090855181831724,-1.3065062769038418,-0.0830208236279592,-0.2009085518183024,-1.1265535986795001,-0.16079930691808308,-0.24585446789647655
0.29,-0.2587479909575477,0.07679315175599057,-0.5355086367548089,-0.47230417530160645,0.10716593782724397,-0.4947123838241582,-0.4723041753016334,0.10716593782723445,-0.4947123838241464,-0.25874799095751,0.07679315175600311,-0.5355086367548209
0.3,0.7382223477284268,0.34587684833844545,-0.41749104368083306,0.4985664213030345,0.3106138686638536,-0.39544956728636516,0.4985664213030093,0.31061386866384405,-0.3954495672863603,0.738222347728437,0.3458768483384498,-0.41749104368083556
0.31,1.5504494077465691,0.5384150230831122,0.18355870742848215,1.303393146436131,0.42704603231162697,0.17007985605578116,1.3033931464361304,0.4270460323116261,0.17007985605577877,1.550449407746567,0.5384150230831114,0.183558707428481
0.32,1.7874261122580606,0.5177457554473697,1.0636142203610315,1.562610155390364,0.33655732754701695,1.003995561820387,1.562610155390389,0.3365573275470256,1.00399556182039,1.787426112258057,0.5177457554473677,1.063614220361031
0.33,1.2472271430138426,0.22118318435815162,1.678555655783597,1.0760248135415256,-0.0010364231013099143,1.5786611715328944,1.076024813541587,-0.0010364231012874045,1.5786611715329313,1.24645675578512,0.2208853153494038,1.6780523176363993
0.34,0.2172144074860963,-0.21508555310843266,1.3999581223505084,0.11578332667655111,-0.43053695120668484,1.28584161223496,0.11578332667659394,-0.4305369512066684,1.2858416122350071,0.21374721225318993,-0.21659273184467423,1.3966455919291536
0.35000000000000003,-0.5404277012954626,-0.45406224525548994,0.06658764182068963,-0.5811936955432321,-0.6086268366504864,-0.022429435602215272,-0.5811936955431919,-0.6086268366504665,-0.022429435602138618,-0.5446049699280585,-0.456137293100408,0.059413215152505895
0.36,-0.3246386382081119,-0.18503210019535093,-1.616130147127023,-0.34065563945529886,-0.24017462064804326,-1.6488208725336022,-0.3406556394552931,-0.24017462064803827,-1.6488208725335776,-0.3268637352564004,-0.186491290301074,-1.6246937957858862
0.37,0.7597036579348424,0.5253370538668634,-2.416688608784061,0.7279878968177179,0.5755077590458859,-2.3914626885672527,0.7279878968177244,0.5755077590458918,-2.391462688567279,0.7599764692214149,0.5252041686057405,-2.4214490006660676
0.38,1.638484997563349,1.1119865627311176,-1.6489744774559756,1.5793138743610404,1.2356919461875113,-1.5988027321956266,1.579313874361066,1.2356919461875264,-1.5988027321956666,1.6384849975633193,1.111986562731102,-1.6489744774559254
0.39,1.1596803659934407,0.906766929463562,-0.08836187424685482,1.110881267215905,1.046217920998029,-0.05425798326664798,1.1108812672159192,1.0462179209980391,-0.05425798326665771,1.1596803659933628,0.9067669294635196,-0.08836187424679781
0.4,-0.4929610528653225,-0.10673464015558404,0.4914477211806409,-0.47476453014663894,-0.018188890593137334,0.5010064756961914,-0.4747645301466425,-0.018188890593136928,0.5010064756961947,-0.492961052865358,-0.10673464015560297,0.4914477211806515
0.41000000000000003,-1.5406297029416072,-0.9940236129685225,-0.6055871081648211,-1.4347341447586457,-1.0030922084993026,-0.6050253267299405,-1.4347341447586412,-1.0030922084993004,-0.6050253267299369,-1.5406297029415623,-0.994023612968495,-0.605587108164806
0.42,-0.6913125239794573,-0.8073148126630803,-1.566505013307522,-0.5387179483852667,-0.9029950437084806,-1.5729245437514936,-0.5387179483852644,-0.902995043708482,-1.572924543751497,-0.691312523979364,-0.8073148126630175,-1.566505013307432
0.43,0.5870025402275068,0.04440517340313425,-0.2465782408901195,0.7217837815948032,-0.05315195591864812,-0.2807786146995509,0.7217837815948142,-0.053151955918643405,-0.2807786146995337,0.5870025402275422,0.04440517340316378,-0.24657824089003202
0.44,-0.13985681129455982,0.24827531670245007,2.073212689023845,-0.06610217781254107,0.2517003165301918,2.0194324575459097,-0.0661021778125434,0.2517003165301932,2.019432457545921,-0.13985681129455085,0.24827531670244687,2.0732126890238107
0.45,-1.9468706742542794,-0.2889946505087025,2.0120221544611088,-1.968952002734709,-0.17565767140078836,1.9961036335176026,-1.9669583246467497,-0.1751419714426449,1.9907597343660666,-1.9468588679549235,-0.28885083236715836,2.0097306898424763
0.46,-1.3883908128531095,-0.2565712892891182,-0.09099919099595404,-1.53999916961567,-0.1631160622445544,-0.05173372082841729,-1.5434361789990618,-0.16404917769000962,-0.04973021523368651,-1.3972675668812657,-0.2591719866046867,-0.08561860596071112
0.47000000000000003,1.1957273249939284,0.4693557591239812,-0.18032911537986496,0.9668670403412066,0.40127875175358696,-0.1748424772205385,0.9646308288268006,0.40028882735894433,-0.17420544261203091,1.2004926384249397,0.47069237934908054,-0.17964669844288517
0.48,1.453217573303355,0.34258979053430294,1.6173940795834751,1.2746199976957395,0.1293448994772599,1.5275499980298737,1.2788053038446623,0.13108821578296095,1.5298359729964133,1.450311632999939,0.3417305159846878,1.614793362496143
0.49,-0.4251209891835384,-0.42327695281566624,0.5095852070424717,-0.4764510152668358,-0.5952406201842574,0.41077952083181124,-0.4757544596004199,-0.5951642859649805,0.4128982057745713,-0.43240406048936797,-0.4261295932677354,0.4953939342566765
