RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,0,15,0.0,-7.078782005009998e-13,-3.2777114356008497e-12,4142.794088786108,-2.2010837597008504e-11,-3.97335497837048e-11,-1381.9931036079984
45,0,15,36.0,3.28202742760908e-13,-4.351075055808451e-12,4142.794088786104,-3.2445157671645575e-12,-6.692957299492264e-11,-1381.9931036079988
45,0,15,72.0,4.512723528193874e-12,-3.534172954289261e-12,4142.79408878611,4.899902705801651e-11,-5.6353144373133546e-11,-1381.9931036080006
45,0,15,108.0,5.846323425373612e-12,1.361355472795367e-12,4142.794088786105,7.564437964902027e-11,3.1965541325007507e-12,-1381.9931036079995
45,0,15,144.0,4.602984660095899e-12,4.885591931014233e-12,4142.794088786115,6.463451995841751e-11,5.511680001291097e-11,-1381.9931036080015
45,0,15,180.0,3.985700658404312e-13,4.540923193019353e-12,4142.794088786107,1.2843059948863811e-11,5.276135084386624e-11,-1381.9931036079986
45,0,15,216.0,-2.2693201484624836e-12,2.657096764835387e-12,4142.794088786105,-1.942179750358264e-11,3.167954787386407e-11,-1381.9931036079981
45,0,15,252.0,-3.082312183266822e-12,1.1267653476920714e-12,4142.79408878611,-3.724842656538385e-11,1.7985612998927536e-11,-1381.9931036079993
45,0,15,288.0,-4.04032363121587e-12,-2.7150504067208203e-13,4142.794088786099,-5.420730531113804e-11,-2.7391422463551862e-12,-1381.9931036079963
45,0,15,324.0,-1.8377521726620216e-12,-3.2124858329041217e-12,4142.794088786097,-2.9110935884091305e-11,-3.412559124171821e-11,-1381.9931036079952
45,0,20,0.0,-7.210898544940392e-13,-3.1614710849225958e-12,4142.794088786102,-2.1008972339586762e-11,-4.0952130575533374e-11,-1381.993103607996
45,0,20,36.0,6.406646047008024e-13,-3.878453114225522e-12,4142.794088786103,3.426370298598158e-12,-6.355094228638336e-11,-1381.9931036079975
45,0,20,72.0,4.463762692807904e-12,-3.0263569428257142e-12,4142.794088786108,4.9739767860046413e-11,-4.934008757118136e-11,-1381.993103608
45,0,20,108.0,5.469735775420759e-12,1.4868661857292409e-12,4142.794088786108,7.365841270257079e-11,5.262457136723242e-12,-1381.9931036079981
