x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z,wind_magnitude,alpha_rad,alpha_deg
270,-6.8214984,-0.8268244,2.0144439,7.160618914303786,0.30899098617583626,17.703879415460584
275,-6.610475,-0.8257611,1.5933739,6.849751930186919,0.26509430883412743,15.188785069133116
280,-6.485948,-0.81962466,1.0156351,6.615951987305841,0.1985687481035607,11.377151209530398
285,-6.417877,-0.79291594,0.33674327,6.475434881529223,0.1334305095855824,7.645005057533746
290,-6.220397,-0.7341828,-0.30140364,6.270821905909153,0.12690150224301203,7.270920492394539
295,-5.966991,-0.78019255,-0.7397272,6.063074990429884,0.17826630133968224,10.213906696171126
300,-5.385274,-1.0312616,-1.3175606,5.639205837472411,0.3012367163343396,17.259592480337247
305,-4.9564314,-1.5614032,-1.5885429,5.4339360247445505,0.42235664090554054,24.199252973209937
310,-4.939912,-2.0456607,-1.4196899,5.531995813395966,0.4668931558905148,26.75100731607011
315,-5.00186,-2.0915124,-1.3031425,5.57594906309769,0.4577662949609738,26.228076704604565
320,-4.90922,-1.6565762,-1.210274,5.320662446526978,0.3958456449060186,22.68028479174912
325,-4.8266897,-1.2075591,-1.0352308,5.08201094541792,0.318328786377067,18.238895956927514
330,-4.8790927,-1.1518784,-0.86267084,5.0869018470741265,0.2868205897954467,16.433609272732145
335,-5.169631,-1.3080381,-0.7701185,5.387868859879095,0.2855936097277364,16.363308493305667
340,-5.7165203,-1.3490875,-0.6831922,5.913154234848705,0.2586101248497955,14.817268693244575
345,-6.255391,-1.171795,-0.49478218,6.383402657717243,0.20060515730765358,11.493828862286515
350,-6.483429,-0.82588017,-0.27918667,6.541779180769244,0.13366309145000152,7.658331016756246
355,-6.385341,-0.343272,-0.13027471,6.395888277036318,0.05743735601262337,3.290918085913682
360,-6.188136,0.22474799,-0.009568632,6.19222337874074,0.03633607584763346,2.0819037901366424
365,-6.093278,0.7335897,0.09678331,6.138041841037306,0.12084481988638317,6.923898155508356
370,-6.0838733,1.1360921,0.1744354,6.191497985052442,0.18672574052995275,10.698596858821192
375,-6.112587,1.3563062,0.2432413,6.265975795576706,0.2217212971211734,12.703694553209365
380,-6.144669,1.3965645,0.3279819,6.309906627593539,0.2293561182973211,13.141137583939736
385,-6.1269794,1.2901765,0.43696427,6.276573089069643,0.21876442607492766,12.534278321695053
390,-6.0240364,1.0852736,0.5282519,6.143767850857935,0.1977468434332559,11.33005954075984
395,-5.8523207,0.8235938,0.5569601,5.936174599524422,0.16828130049859402,9.641808289542194
400,-5.6417723,0.52925944,0.5013974,5.688682588491219,0.12851152953721534,7.363168261253256
405,-5.427902,0.20398468,0.37732586,5.44482365884364,0.07886005881827264,4.518348542440452
410,-5.242591,-0.1637504,0.22590493,5.250010249911848,0.05316992901531553,3.046412529587757
415,-5.113222,-0.57552177,0.07955927,5.146124192678493,0.1131407231770494,6.482485929102905
420,-5.0444865,-0.9937106,-0.040835887,5.141592396806819,0.19465917390645324,11.153149108342893
425,-5.0290728,-1.3593479,-0.12282848,5.210996716217864,0.2650154251261825,15.184265365595529
430,-5.047119,-1.6245728,-0.15384498,5.304367564614281,0.3127128108334632,17.917124260430327
435,-5.0864754,-1.7623324,-0.12518293,5.384581529595248,0.3343095444812502,19.1545259497167
440,-5.153777,-1.77407,-0.029795945,5.450654045980853,0.3315661486628553,18.99734094778883
445,-5.2480326,-1.680192,0.123254806,5.511813047875342,0.3106250474411654,17.79750422942975
450,-5.357891,-1.5195383,0.3163888,5.57818021274083,0.2819713866747074,16.155770399912114
