Time_s,Rotor_Speed_rad_s,Current_A,Voltage_V,Motor_Torque_Nm,Aero_Torque_Nm,Speed_Error_rad_s
19.0,44.85751040134529,172.10561927159767,398.02531813137824,1494.0022015007153,-1563.3480366884028,0.14248959865471278
20.0,44.682810683945696,175.91478700511254,396.6993862744747,1527.0448796476862,-1586.0202297508206,0.31718931605430356
21.0,44.54635213699999,179.90374437436517,395.7142273286635,1561.6712440138854,-1597.5732456689125,0.4536478630000076
22.0,44.479412476052026,183.33342926316226,395.30442144111095,1591.4648966496504,-1598.9097463616831,0.5205875239479738
23.0,44.492271153605046,185.6894945461014,395.5335541054384,1611.9532127304703,-1585.9031962439533,0.5077288463949543
24.0,44.59303110588414,186.42291100501507,396.444514709389,1618.3702525730253,-1561.3461377382505,0.4069688941158631
25.0,44.76989698506723,185.3163112578462,397.92412314754694,1608.8189685203315,-1520.6316654904342,0.23010301493277296
26.0,45.018101269571204,182.0570786225185,399.91533906352004,1580.587942795451,-1470.1255641853909,-0.01810126957120417
27.0,45.30952767332382,176.79267142539814,402.1815666302843,1534.9438981812427,-1423.7232225686237,-0.3095276733238208
28.0,45.5847249399915,170.37680435835233,404.24956306381193,1479.2769977722967,-1393.559312267938,-0.5847249399915029
29.0,45.77593669507254,164.10736824454654,405.59612602439705,1424.8414597112187,-1367.4824511249683,-0.7759366950725379
30.0,45.8801865108784,158.4137887573195,406.21665785689606,1375.3918379771865,-1334.164132143247,-0.8801865108784028
31.0,45.93407682634164,153.04445780379086,406.4161433233626,1328.7658241038982,-1309.8378466556069,-0.9340768263416379
32.0,45.925293581184015,148.51304116759295,406.113556411075,1289.4004396780936,-1300.5623936557631,-0.9252935811840146
33.0,45.83767624397854,145.43333216919694,405.1993283209816,1262.6201095386818,-1297.585230853552,-0.8376762439785423
34.0,45.692278744883325,143.80138706814574,403.8558766013347,1248.4090818903726,-1298.898933570795,-0.6922787448833247
35.0,45.51474338548306,143.45491127911072,402.2976474874218,1245.3637921628358,-1300.7516242863187,-0.5147433854830581
36.0,45.335324850080895,144.02069679314317,400.7685773233202,1250.2503164905013,-1297.5128897809795,-0.3353248500808945
37.0,45.18834979119377,144.89430090666002,399.5363858866974,1257.8278579287244,-1292.7754190664414,-0.18834979119377238
38.0,45.0828799321837,145.76536185522585,398.66430122228246,1265.3929387180829,-1298.1253618098613,-0.08287993218370104
39.0,44.9902826611861,146.9636617502875,397.9204166821124,1275.7886740377974,-1313.358214730766,0.0097173388138998
40.0,44.891260120463116,148.76367861375505,397.1509172155713,1291.3989670695646,-1328.4448680945331,0.10873987953688413
41.0,44.7998148913525,150.9216889264408,396.4650389798185,1310.1239174483158,-1341.5183971172078,0.20018510864750283
42.0,44.728762051984056,153.16833215027168,395.9605525686307,1329.6265599885357,-1360.325919132597,0.27123794801594414
43.0,44.66440326931299,155.66982112889144,395.5269636471241,1351.3366718635236,-1378.9267875194516,0.33559673068700846
44.0,44.61245011196732,158.27628193321868,395.2062852109169,1373.962056927882,-1393.287635867317,0.3875498880326802
45.0,44.5856017398394,160.69373911147872,395.0940224645352,1394.9553407850312,-1402.9902349158383,0.41439826016060266
46.0,44.59038148128978,162.6850308910729,395.23496263185655,1412.2559649550476,-1407.1336408374527,0.4096185187102179
47.0,44.62971673843747,164.04013559259744,395.6440273653366,1424.0396107337888,-1406.6135346996225,0.3702832615625269
48.0,44.69920949542482,164.66683456321908,396.2784568734072,1429.5020685118304,-1402.96534650279,0.30079050457518264
49.0,44.78860065830908,164.59898234155546,397.0509155362983,1428.933370495318,-1395.8522698452089,0.211399341690921
50.0,44.88979412923907,163.87713451825599,397.8931485728678,1422.6853944274278,-1384.9807336829658,0.1102058707609288
51.0,44.996868926185456,162.54349508912887,398.75586351629715,1411.1246558599953,-1371.5914743033145,0.0031310738145435835
52.0,45.10199210750006,160.7067070985529,399.5765085547373,1395.1924879307876,-1358.7640794770978,-0.1019921075000596
53.0,45.19227106760837,158.6080843415802,400.25525886649837,1376.9799275769524,-1348.8989308996536,-0.19227106760836676
54.0,45.25480653759872,156.55149643299865,400.6953416365735,1359.1231507932844,-1342.2055636474252,-0.25480653759871785
55.0,45.283814768313,154.7741688253221,400.8583891650431,1343.6837471586887,-1338.6507519861675,-0.28381476831300034
56.0,45.27941627713128,153.43870630126673,400.75355641355355,1332.0758202667962,-1338.9815272173116,-0.2794162771312827
57.0,45.24355914317101,152.67823451930457,400.4044025425736,1325.456095597164,-1344.0977352079651,-0.24355914317101224
58.0,45.178799154737796,152.6068626456169,399.83881541409636,1324.8157659814299,-1353.9828534514827,-0.17879915473779562
59.0,45.0901441717879,153.28045288954038,399.1030478855351,1330.6414910667263,-1368.906833085859,-0.09014417178789813
60.0,44.98307042402785,154.72617367210125,398.2459916455328,1343.1699660747918,-1383.858351223065,0.01692957597214928
