time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,force_x,force_y,force_z,moment_x,moment_y,moment_z
0.75,324.6539012568096,134.91340543777082,50.776504196727046,-0.6769848291419124,-0.16917812228815152,2.3404480968647117,0.10150529613992937,-0.38544223471885175,-0.0194582285498521,5.815825067043519,-22.084213295481053,-1.1148743727074895,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.76,324.6385445061294,134.90956322524517,50.79569717509622,-0.6942129437783222,-0.1734721625624312,2.3827723075794394,0.1044647089505228,-0.3955493599895284,-0.020569203053575204,5.985386930927472,-22.663308916500846,-1.1785285229174645,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.77,324.6226682297395,134.90559104356956,50.815046812555906,-0.7116191339077117,-0.1778096080739055,2.4257803780399176,0.10748753173523459,-0.4057846156196308,-0.021732127738014945,6.15858191870744,-23.24974586634323,-1.2451591992274447,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.78,324.60626071182776,134.90148596310345,50.83454741208571,-0.7291928809680367,-0.18218775855477196,2.4694943773496516,0.11057569007319866,-0.41614775965070816,-0.02294917947109358,6.335520357940916,-23.84351028181015,-1.314891126981933,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.79,324.58931014557066,134.89724503150845,50.854193074173516,-0.7469228965585969,-0.18660371751430901,2.513936673859788,0.11373122337371289,-0.42663853573719634,-0.02422264161617402,6.516319098173368,-24.444587475382693,-1.3878551332647189,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.8,324.5718046367682,134.8928652746549,50.87397769255488,-0.7647970979352359,-0.19105438591528867,2.559129920670426,0.11695629216863039,-0.43725667221493925,-0.0255549111954333,6.701101928761483,-25.052961881851267,-1.4641885573299454,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.81,324.5537322076049,134.8883436975594,50.89389494995908,-0.7828025832854629,-0.19553645578284695,2.605097040044137,0.12025318597642219,-0.4480018810956708,-0.026948506629789128,6.8900000294507695,-25.668617000703676,-1.544035694067235,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.8200000000000001,324.5350808005393,134.88367728535363,50.913938313865536,-0.8009256068098841,-0.20004640375142108,2.6518612066992437,0.12362433179130765,-0.4588738569804279,-0.028406076108433764,7.083152456766896,-26.291535333868268,-1.6275482735406566,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.8300000000000001,324.51583828232356,134.87886300428443,50.93410103227446,-0.8191515536380203,-0.20458048455569566,2.699445829950346,0.12707230325650617,-0.4698722758841023,-0.029930406646669072,7.280706669604311,-26.921698318365713,-1.714885979964445,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.84,324.49599244815636,134.87389780274648,50.954376129495884,-0.8374649146083271,-0.2091347244718361,2.7478745346635765,0.1305998305869945,-0.4809967939624868,-0.03152443389704949,7.482819097758342,-27.55908625337413,-1.806217013840086,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.85,324.4755310259697,134.86877861234717,50.974756401961145,-0.855849260944015,-0.21370491471562453,2.7971711409941067,0.13420981131424786,-0.4922470461322109,-0.033191252785915226,7.689655757553527,-28.203678221157215,-1.9017187013847783,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.86,324.4544416808532,134.8635023490044,50.995234414061244,-0.8742872188580968,-0.21828660480445236,2.8473596428735415,0.13790532193340216,-0.5036226445728815,-0.03493412905533784,7.901392919176845,-28.855452001243247,-2.0015781558362,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.87,324.43271201961716,134.85806591407774,51.01580249401657,-0.8927604441229625,-0.2228750958904587,2.8984641852149857,0.14168963054221526,-0.5151231770995273,-0.03675651179942109,8.11821783083686,-29.514383977172972,-2.1059929957296397,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.88,324.4103295954962,134.8524661955332,51.03645272978266,-0.9112495966417048,-0.22746543407243913,2.950509039803807,0.145566210571262,-0.5267482053920709,-0.03866204709393598,8.340329505445942,-30.180449035055897,-2.2151721258185613,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.89,324.3872819129959,134.8467000691416,51.057176964996835,-0.9297343150603776,-0.23205240369447822,3.0035185798424004,0.149538755716125,-0.5384972630670007,-0.04065459282957365,8.567939576171776,-30.853620453085163,-2.3293365869573894,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.9,324.3635564328839,134.8407643997115,51.07796679497079,-0.9481931914623821,-0.2366305206395824,3.0575172531176182,0.15361119619511698,-0.5503698535746547,-0.042738234871850425,8.801273227936253,-31.53386978106082,-2.448720481995868,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.91,324.3391405773275,134.83465604235622,51.09881356273432,-0.9666037461882214,-0.24119402562690495,3.112529553759961,0.15778771647049758,-0.5623654479035355,-0.04491730468510015,9.040570212766378,-32.22116670885675,-2.573571985559438,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.92,324.3140217351792,134.8283718437955,51.119708355135614,-0.9849424028259622,-0.24573687752145768,3.168579992564114,0.1620727745874596,-0.5744834820708106,-0.04719639857427467,9.286085957836578,-32.91547892263694,-2.7041544465231944,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.93,324.2881872674121,134.8219086436919,51.14064199900376,-1.0031844634198728,-0.2502527466654944,3.2256930658409977,0.16647112330363334,-0.5867233543755759,-0.049580398716716184,9.538092776100116,-33.61677194747906,-2.8407475930436803,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.9400000000000001,324.26162451270636,134.81526327602188,51.161605057379404,-1.0213040839468843,-0.25473500824102396,3.2838932227721367,0.170987833202803,-0.5990844223885233,-0.052074496176978735,9.796881190607497,-34.32500897489511,-2.9836488512110217,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.9500000000000001,324.2343207931886,134.8084325704819,51.18258782581949,-1.0392742501127366,-0.25917673567316263,3.343204831237881,0.1756283180103139,-0.6115659996483038,-0.05468421612152457,10.06276138497245,-35.040150673547,-3.1331747897446136,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.96,324.20626342032546,134.80141335392906,51.20358032878265,-1.0570667535219238,-0.2635706940842652,3.403652142091824,0.18039836235469175,-0.6241673520310446,-0.057415445477125175,10.336064793995549,-35.76215498123516,-3.2896627047027636,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.97,324.17743970097234,134.79420245185665,51.22457231610174,-1.074652168277847,-0.26790933380897247,3.4652592518546315,0.18530415225078853,-0.6368876937550898,-0.06027446330754591,10.617145850219817,-36.49097687598712,-3.4534723599385213,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.98,324.1478369435791,134.78679668990415,51.245553259550526,-1.0919998280719099,-0.27218478398048046,3.528050063801462,0.19035230861487804,-0.6497261829779997,-0.06326797421815455,10.906383904204253,-37.22656812378405,-3.6249879010427604,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
0.99,324.1174424645531,134.7791928954015,51.26651234951175,-1.1090778038226599,-0.2763888461984639,3.5920482474182123,0.19554992416221206,-0.6626819169370517,-0.06640314513812813,11.204185338598071,-37.968877000132046,-3.8046199628093937,-0.25937584265952196,-0.06489160885591842,8.537132623424565,0.0014854212929896905,-0.005937322349783646,-1.0408340855860843e-17
1.0,324.0869579280621,134.7716497003941,51.28655854851914,-1.1251694079699457,-0.27203072788133004,3.5412655354841864,0.19996970162398983,-0.6673185862886492,-0.06880726047851742,11.457419933544982,-38.23453858497624,-3.942365625276357,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.01,324.0563852635765,134.76416725931685,51.305689848894986,-1.1713410942587752,-0.27047353592104756,3.481611412865367,0.2034997226069886,-0.6636467162539662,-0.07034923003555585,11.659675237463432,-38.02415592906836,-4.0307139730323165,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.02,324.0257248413723,134.75674570779051,51.32390651731312,-1.246074231073827,-0.2718405064273917,3.4122252270674895,0.20608508972194275,-0.6516750896077003,-0.07093926599002794,11.80780586164222,-37.33823224833096,-4.06452054298454,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.03,323.9949754901706,134.74938515041967,51.34121095127516,-1.3476096130054724,-0.2762732417217257,3.331525148587155,0.207735520205748,-0.6314101415170412,-0.07053587934134666,11.902368562743996,-36.1771362506845,-4.0414081905031765,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.04,323.96413452415,134.74208563170924,51.35760750946212,-1.473891608421774,-0.2839286072463603,3.2372798552600206,0.20852597563929454,-0.6028557048202283,-0.06914558666894148,11.947658322979395,-34.54108754158364,-3.9617502880863955,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.05,323.93319777764754,134.73484710170462,51.37310231688387,-1.6224851717841267,-0.2949750141422496,3.12669285133617,0.20859066809892704,-0.5660131738300765,-0.06681549749189267,11.951364927882658,-32.43016600926801,-3.828246012352387,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.06,323.9021596461237,134.72766939293348,51.38770304827692,-1.7904705288584866,-0.3095886069361581,2.9965037742009626,0.2081123828429901,-0.5208820701490704,-0.06362048077091559,11.923961201314137,-29.844344243579016,-3.645185038766673,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.07,323.87101313189,134.72055222643135,51.40141869475982,-1.9743213507009678,-0.327949985119551,2.8431123219437486,0.20730997773676588,-0.4674609251942453,-0.05964743755574892,11.877986775267743,-26.78353810091095,-3.417546430714536,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.08,323.83974989256086,134.7134952623407,51.414259318853276,-2.169773623500072,-0.3502421543836881,2.6627312824281906,0.20642699026761863,-0.4057483650885095,-0.054979140247035416,11.827395319922667,-23.247668863904867,-3.1500726974129716,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
1.09,323.8083602892454,134.70649820617768,51.426235801802015,-2.371694253681057,-0.3766504045161566,2.451575450716068,0.20572371621660807,-0.33574429962075464,-0.04967930929248511,11.787100684958695,-19.236731363845006,-2.8464147515844487,-0.21289961347940695,0.5119020988771659,0.6483396945501505,-0.016211279280669306,0.37248695712723257,-0.08623959179532834
