Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
1.19,41.08640633910659,-1339.821483509212,2.27989051617814
1.2,41.062917857399526,-1339.8219635863857,2.2973136636349505
1.21,41.03958523514413,-1339.8232981384172,2.3146390706411086
1.22,41.01640813989004,-1339.824066880568,2.331849326713142
1.23,40.993386238395374,-1339.825216629563,2.348956214044831
1.24,40.97051919663484,-1339.8261161343844,2.365952047722198
1.25,40.94780667980781,-1339.8271861893186,2.382842129841947
1.26,40.925248352346365,-1339.828146225425,2.3996231039599785
1.27,40.90284387792332,-1339.829183249294,2.4162973916972827
1.28,40.88059291946023,-1339.8301725504534,2.4328635641696064
1.29,40.858495139135385,-1339.831197230039,2.4493227637633055
1.3,40.83655019839176,-1339.832201848264,2.4656744211133166
1.31,40.814757757944925,-1339.833223326067,2.4819191116345642
1.32,40.793117477791,-1339.8342370105952,2.4980566503503283
1.33,40.77162901721452,-1339.8352592983742,2.5140873625165465
1.34,40.75029203479627,-1339.836279219835,2.530011236169919
1.35,40.729106188421184,-1339.837304049489,2.545828487305638
1.36,40.708071135286126,-1339.83832889931,2.5615391829217327
1.37,40.68718653190768,-1339.8393569897285,2.5771434924035166
1.38,40.66645203412993,-1339.840386135611,2.5926415198470387
1.39,40.64586729713222,-1339.841417755688,2.6080334158692526
1.4,40.62543197543685,-1339.8424508663084,2.6233193030194606
1.41,40.60514572291677,-1339.8434860855143,2.6384993255038225
1.42,40.58500819280332,-1339.8445229634926,2.653573616001136
1.43,40.56501903769378,-1339.8455617625618,2.6685423177782432
1.44,40.54517790955909,-1339.8466022704756,2.6834055699207386
1.45,40.52548445975142,-1339.847644591345,2.6981635171606975
1.46,40.50593833901172,-1339.8486886185833,2.712816303305722
1.47,40.486539197477335,-1339.849734386214,2.727364075600887
1.48,40.4672866846895,-1339.850781834598,2.7418069817992823
1.49,40.448180449600855,-1339.851830966637,2.7561451720964776
1.5,40.42922014058296,-1339.8528817436488,2.770378797821003
1.51,40.41040540543371,-1339.853934154714,2.7845080122873185
1.52,40.391735891384826,-1339.854988170676,2.798532970210294
1.53,40.37321124510923,-1339.856043774656,2.8124538280743714
1.54,40.35483111272847,-1339.8571009416216,2.8262707438667753
1.55,40.33659513982005,-1339.858159652084,2.8399838772368966
1.56,40.31850297142481,-1339.8592198829788,2.853593389370701
1.57,40.30055425205425,-1339.8602816136918,2.8670994430543892
1.58,40.282748625697785,-1339.8613448222331,2.88050220261489
1.59,40.26508573583006,-1339.862409487695,2.8938018339389817
1.6,40.24756522541819,-1339.8634755884436,2.906998504439038
1.61,40.23018673692898,-1339.864543103396,2.9200923830573497
1.62,40.21294991233612,-1339.8656120113033,2.9330836402455756
1.63,40.1958543931274,-1339.8666822910964,2.945972447957466
1.64,40.17889982031182,-1339.8677539217597,2.9587589796356504
1.65,40.16208583442676,-1339.8688268823166,2.9714434101999245
1.66,40.14541207554505,-1339.8699011517906,2.98402591603519
1.67,40.12887818328212,-1339.87097670945,2.996506674982925
1.68,40.11248379680297,-1339.8720535346883,3.0088858663281943
1.69,40.09622855482928,-1339.8731316066787,3.0211636707837553
1.7,40.08011209564639,-1339.8742109047794,3.033340270483645
1.71,40.0641340571103,-1339.875291408598,3.0454158489724623
1.72,40.04829407665465,-1339.876373097522,3.057390591188005
1.73,40.032591791297634,-1339.87745595114,3.0692646834550956
1.74,40.017026837648935,-1339.8785399493636,3.0810383134756236
1.75,40.00159885191661,-1339.8796250717337,3.0927116703084234
1.76,39.986307469914,-1339.88071129813,3.104284944366734
1.77,39.9711523270665,-1339.8817986084136,3.115758327402327
