RPM,Qaero_Nm,Estimated_WindZ
40.08011209564639,-1339.8742109047794,3.03113471397747
40.0641340571103,-1339.875291408598,3.0432694665022137
40.04829407665465,-1339.876373097522,3.0553035516049407
40.032591791297634,-1339.87745595114,3.067237142916005
40.017026837648935,-1339.8785399493636,3.0790704154745407
40.00159885191661,-1339.8796250717337,3.09080354571168
39.986307469914,-1339.88071129813,3.1024367114512
39.9711523270665,-1339.8817986084136,3.1139700918969
39.95613305841848,-1339.8828869825393,3.125403867625653
39.94124929864001,-1339.883976400616,3.136738220579921
39.92650068203367,-1339.885066842681,3.1479733340565432
39.9118868425413,-1339.886158288764,3.1591093926990994
39.897407413750734,-1339.8872507192812,3.170146582494464
39.883062028902486,-1339.8883441145629,3.1810850907583483
39.868850320896456,-1339.8894384549576,3.191925106128095
39.854771922298575,-1339.890533720892,3.2026668185548477
39.84082646534745,-1339.8916298927816,3.213310419293818
39.82701358196097,-1339.8927269513267,3.2238561008993485
39.81333290374289,-1339.8938248772445,3.234304057212862
39.799784061989406,-1339.89492365106,3.2446544833514976
39.7863666876957,-1339.8960232537215,3.2549075757070822
39.77308041156242,-1339.8971236662087,3.265063531932403
39.75992486400222,-1339.8982248693064,3.275122550929518
39.746899675146224,-1339.8993268439365,3.2850848328450475
39.73400447485045,-1339.9004295712514,3.294950579062437
39.72123889270223,-1339.90153303253,3.304719992191757
39.70860255802664,-1339.9026372089347,3.314393276057587
39.69609509989285,-1339.9037420816207,3.3239706356914573
39.68371614712051,-1339.9048476319942,3.333452277325977
39.67146532828604,-1348.101528217508,3.4461472428359547
39.658790734034135,-1356.022777637549,3.5556765702532034
39.64626206590698,-1356.639666190124,3.5730871682905523
39.63386222587828,-1356.057303559177,3.5752931439587186
39.621591330025126,-1356.452477903189,3.589719811017833
39.60944898918965,-1356.1907391635075,3.59577059937546
39.59743482879998,-1356.3670967359178,3.6072479133077766
39.58554847362729,-1356.2513866136271,3.61494637402348
39.5737895482394,-1356.3303893970956,3.6250047375115075
39.56215767699389,-1356.279584519792,3.6333299226355487
39.550652484044754,-1356.315318999627,3.642651629488565
39.53927359334853,-1356.2933614608132,3.6511500140733126
39.52802062867053,-1356.3098661236822,3.6600389396329462
39.51689321359095,-1356.3007301445075,3.6685093538008204
39.50589097151102,-1356.3086887224051,3.6771011105876705
39.49501352565912,-1356.3052516947532,3.6854546009577294
39.484260499096834,-1356.3094124735735,3.693809987651682
39.47363151472503,-1356.3085087544969,3.702007503039575
39.46312619528989,-1356.3109820441853,3.710154057149367
39.452744163388914,-1356.3112046420506,3.7181787400379247
39.44248504147693,-1356.3129283192388,3.7261292143482625
39.432348451872016,-1356.3136518658937,3.7339740801666874
39.42233401676149,-1356.3150427261392,3.741734658186719
39.41244135820779,-1356.315989241534,3.7493971168409734
39.4026700981544,-1356.31723248888,3.7569710656707094
39.39301985843169,-1356.3182783882776,3.764450485503903
39.383490260762784,-1356.3194562976043,3.7718397799643406
39.37408092676938,-1356.3205466164643,3.779136404506172
39.36479147797754,-1356.3216957168215,3.786342449200566
39.35562153582349,-1356.322805989079,3.793456915437002
39.34657072165934,-1356.323942478139,3.8004808657108433
39.337638656758855,-1356.3250617925903,3.8074139897972534
39.32882496232314,-1356.326192832171,3.8142568943613906
39.32012925948631,-1356.327316302726,3.8210095762671874
39.31155116932118,-1356.3284450392232,3.827672440526556
39.30309031284489,-1356.3295704573236,3.834245621537594
39.29474631102452,-1356.3306982525942,3.8407294356554527
39.28651878478267,-1356.3318246006943,3.8471240794076222
39.27840735500306,-1356.332952023822,3.853429830698999
39.27041164253604,-1356.334078813319,3.859646914640055
39.26253126820413,-1356.335206081347,3.865775592993506
39.25476585280751,-1356.3363330596812,3.871816104516249
39.2471150171295,-1356.3374602337449,3.8777687047197684
39.239578381942025,-1356.338587253184,3.8836336393417974
39.23215556801102,-1356.3397143249103,3.8894111620192184
39.22484619610185,-1356.3408412845004,3.8951015224890932
39.21764988698471,-1356.3419682153526,3.9007049744404476
39.21056626143994,-1356.3430950358093,3.9062217702611575
39.203594940263415,-1356.3442217740424,3.911652164519381
39.196735544271824,-1356.345348385194,3.9169964116308265
39.18998769430797,-1356.3464748735043,3.922254767400471
39.18335101124605,-1356.3476012102935,3.927427487970512
39.1768251159969,-1356.348727388967,3.9325148305094983
39.17040962951318,-1356.3498533885418,3.9375170527388845
39.16410417279464,-1356.35097919752,3.9424344132266262
39.15790836689324,-1356.3521047981974,3.9472671711778125
39.15182183291834,-1356.353230177254,3.9520155865594924
39.14584419204181,-1356.3543553184686,3.9566799199981357
39.13997506550315,-1356.355480207705,3.9612604328332486
39.13421407461458,-1356.3566048295602,3.9657573870648632
