Time_s,RotorSpeed_rad_s,Qaero_Nm
30.96,45.93390948999912,-1334.2014540457315
30.97,45.93376558756656,-1334.2012878085002
30.98,45.93360904827626,-1334.2011217518689
30.99,45.93343992814694,-1322.037813133523
31.0,45.93407682634164,-1310.2832760942554
31.01,45.93467374645946,-1309.3692230642425
31.02,45.93525556744721,-1310.2349930872292
31.03,45.93582162022474,-1309.6499907113307
31.04,45.93637198516017,-1310.039921353958
31.05,45.93690672060636,-1309.779669411939
31.06,45.93742588553185,-1309.9528793529832
31.07,45.93792953885625,-1309.837114668814
31.08,45.93841773946899,-1309.913999903194
31.09,45.938890546228016,-1309.8624520246015
31.1,45.93934801795916,-1309.896526390893
31.11,45.93979021345541,-1309.873519433538
31.12,45.94021719147621,-1309.8885668683054
31.13,45.94062901074678,-1309.878244888119
31.14,45.94102572995744,-1309.884836034394
31.15,45.941407407762895,-1309.8801519493716
31.16,45.941774102781594,-1309.8829848749142
31.17,45.94212587359501,-1309.8808066532224
31.18,45.942462778747,-1309.8819693926155
31.19,45.942784876743126,-1309.880905024202
31.2,45.94309222604996,-1309.8813255973366
31.21,45.943384885094474,-1309.8807564155682
31.22,45.94366291226333,-1309.8808472795781
31.23,45.94392636590225,-1309.8804983255898
31.24,45.94417530431535,-1309.88044279938
31.25,45.944409785764506,-1309.8801918735503
31.26,45.94462986846868,-1309.8800714361969
31.27,45.944835610603306,-1309.8798642317022
31.28,45.94502707029963,-1309.8797151002373
31.29,45.94520430564408,-1309.8795274847837
31.3,45.945367374677645,-1309.8793657598424
31.31,45.945516335395205,-1309.879187012196
31.32,45.945651245744955,-1309.879019853622
31.33,45.94577216362775,-1309.8788452126594
31.34,45.945879146896495,-1309.8786758066046
31.35,45.94597225335553,-1309.8785031602822
31.36,45.946051540759996,-1309.8783329267972
31.37,45.94611706681527,-1309.8781613404196
31.38,45.9461688891763,-1309.877990914587
31.39,45.946207065447055,-1309.8778199766039
31.4,45.946231653179886,-1309.877649644473
31.41,45.94624270987496,-1309.8774791757535
31.42,45.94624029297963,-1309.8773090684358
31.43,45.94622445988788,-1309.8771389933652
31.44,45.94619526793972,-1309.8769691727493
31.45,45.946152774420604,-1309.8767994613522
31.46,45.94609703656085,-1309.8766299588333
31.47,45.946028111535064,-1309.8764606015657
31.48,45.945946056461565,-1309.8762914347399
31.49,45.94585092840182,-1309.8761224309699
31.5,45.94574278435986,-1309.8759536113698
31.51,45.94562168128173,-1309.8757849646065
31.52,45.94548767605493,-1309.8756165009258
31.53,45.94534082550785,-1309.87544821612
31.54,45.945181186409215,-1309.8752801157264
31.55,45.94500881546753,-1309.87511219885
31.56,45.94482376933055,-1309.8749444687337
31.57,45.9446261045847,-1309.8747769258805
31.58,45.94441587775457,-1309.8746095725496
31.59,45.94419314530237,-1309.8744424097497
31.6,45.94395796362737,-1309.8742754395228
31.61,45.94371038906538,-1309.8741086631028
31.62,45.94345047788824,-1309.8739420822203
31.63,45.943178286303265,-1309.8737756982844
31.64,45.94289387045274,-1309.8736095129177
31.65,45.942597286413395,-1309.8734435275783
31.66,45.942288590195886,-1309.8732777437697
31.67,45.941967837744286,-1309.8731121630408
31.68,45.94163508493557,-1309.8729467868295
31.69,45.941290387579116,-1309.8727816165338
31.7,45.94093380141619,-1309.8726166536558
31.71,45.940565382119466,-1309.8724518997178
31.72,45.940185185292485,-1309.8722873562563
31.73,45.9397932664692,-1309.8721230245274
31.74,45.93938968111349,-1309.8719589060631
31.75,45.93897448461862,-1309.8717950022797
31.76,45.938547732306816,-1309.871631314496
31.77,45.938109479428746,-1309.871467844213
31.78,45.93765978116305,-1309.8713045927639
31.79,45.937198692615866,-1309.8711415615282
31.8,45.93672626882035,-1309.8709787519465
31.81,45.93624256473622,-1309.8708161653524
31.82,45.935747635249264,-1309.8706538031415
31.83,45.9352415351709,-1309.8704916667111
31.84,45.93472431923771,-1309.8703297572818
31.85,45.93419604211097,-1309.8701680761344
31.86,45.93365675837621,-1309.870006624653
31.87,45.93310652254275,-1309.8698454041687
31.88,45.93254538904326,-1309.869684416078
31.89,45.931973412233305,-1309.869523661564
31.9,45.93139064639091,-1309.8693631418796
31.91,45.93079714571611,-1309.8692028584983
31.92,45.93019296433053,-1309.8690428125756
31.93,45.92957815627693,-1309.868883005219
31.94,45.9289527755188,-1309.8687234377646
31.95,45.928316875939906,-1309.8685641115403
31.96,45.92767051134387,-1309.868405027826
31.97,45.927013735453755,-1309.8682461877504
31.98,45.92634660191165,-1309.8680875924608
31.99,45.925669164278254,-1305.2302027433345
32.0,45.925293581184015,-1300.74817999173
32.01,45.92489731183668,-1300.3995628232694
32.02,45.92448987443904,-1300.729580682116
32.03,45.92407104583935,-1300.5064287258256
32.04,45.92364088858579,-1300.655012510528
32.05,45.92319945677232,-1300.5556861231041
32.06,45.92274680466753,-1300.6216360874357
32.07,45.922282986460985,-1300.5774021051175
32.08,45.921808056270194,-1300.606624454158
32.09,45.921322068139965,-1300.5868762825855
32.1,45.92082507604191,-1300.5997754939424
32.11,45.92031713387403,-1300.5909101546836
32.12,45.91979829546023,-1300.5965548895338
32.13,45.9192686145499,-1300.5925266174204
32.14,45.91872814481745,-1300.5949473945052
32.15,45.918176939861866,-1300.593069185602
32.160000000000004,45.91761505320629,-1300.5940573495818
32.17,45.917042538297565,-1300.5931349826053
32.18,45.91645944850581,-1300.5934866892767
32.19,45.915865837123995,-1300.5929894019766
32.2,45.91526175736749,-1300.5930585013898
32.21,45.914647262373656,-1300.592750402434
32.22,45.914022405201436,-1300.592694163662
32.230000000000004,45.91338723883092,-1300.5924704147428
32.24,45.91274181616293,-1300.5923587381374
32.25,45.91208619001859,-1300.5921727474972
32.26,45.91142041313897,-1300.5920367022134
32.27,45.910744538184616,-1300.5918677646243
32.28,45.91005861773519,-1300.5917211618967
32.29,45.90936270428903,-1300.5915600780138
32.3,45.90865685026279,-1300.5914090589267
32.31,45.90794110799101,-1300.5912517424351
32.32,45.907215529725754,-1300.5910990385064
32.33,45.906480167636204,-1300.5909436757559
32.34,45.905735073808266,-1300.5907905037736
32.35,45.90498030024419,-1300.5906362913122
32.36,45.904215898862205,-1300.590483194314
32.37,45.90344192149611,-1300.5903297774673
32.38,45.90265841989492,-1300.5901769994102
32.39,45.90186544572249,-1300.590024222782
32.4,45.90106305055714,-1300.589871874363
32.410000000000004,45.90025128589129,-1300.5897196713167
32.42,45.89943020313108,-1300.589567803967
32.43,45.898599853596046,-1300.5894161473263
32.44,45.89776028851871,-1300.5892647863898
32.45,45.89691155904427,-1300.5891136662221
32.46,45.896053716230206,-1300.5889628251673
32.47,45.89518681104597,-1300.5888122392655
32.480000000000004,45.894310894372595,-1300.5886619262528
32.49,45.89342601700238,-1300.5885118760502
32.5,45.89253222963855,-1300.5883620968498
32.51,45.89162958289488,-1300.588212584936
32.52,45.890718127295386,-1300.5880633445013
32.53,45.889797913274,-1300.5879143742172
32.54,45.88886899117421,-1300.5877656766088
32.55,45.88793141124875,-1300.5876172517349
32.56,45.88698522365925,-1300.5874691011104
32.57,45.88603047847595,-1300.5873212251488
32.58,45.88506722567735,-1300.5871736251165
32.59,45.8840955151499,-1300.5870263017016
32.6,45.883115396687685,-1300.5868792560389
